event_date,event_type,sub_event_type,latitude,longitude,fatalities
2024-10-20,Explosions/Remote violence,Shelling/artillery/missile attack,51.2231,34.5161,0
2024-10-20,Battles,Armed clash,48.7717,38.0635,0
2024-10-20,Strategic developments,Disrupted weapons use,49.5937,34.5407,0
2024-10-20,Explosions/Remote violence,Air/drone strike,52.208,32.4581,0
2024-10-20,Battles,Armed clash,48.2691,37.3179,36
2024-10-20,Explosions/Remote violence,Air/drone strike,52.1995,33.2927,0
2024-10-20,Explosions/Remote violence,Air/drone strike,47.5079,35.4622,0
2024-10-20,Battles,Armed clash,47.4478,35.837,0
2024-10-20,Explosions/Remote violence,Air/drone strike,52.089,31.7781,0
2024-10-20,Explosions/Remote violence,Air/drone strike,48.8533,37.6065,0
2024-10-20,Explosions/Remote violence,Shelling/artillery/missile attack,49.9851,36.0682,0
2024-10-20,Explosions/Remote violence,Air/drone strike,51.6209,34.1471,0
2024-10-20,Battles,Armed clash,48.2326,37.2703,36
2024-10-20,Strategic developments,Disrupted weapons use,50.9216,34.8003,0
2024-10-20,Explosions/Remote violence,Air/drone strike,50.9216,34.8003,0
2024-10-20,Explosions/Remote violence,Shelling/artillery/missile attack,51.373,34.1931,0
2024-10-20,Explosions/Remote violence,Shelling/artillery/missile attack,51.7244,34.4201,0
2024-10-20,Explosions/Remote violence,Air/drone strike,51.7554,34.3011,0
